0-core-client (1.1.0a5)                                                 - Zero-OS 0-core client
accmon (1.1)                                                            - Accmon is an accountability monitoring middleware for django.
Accord (0.8.1)                                                          - A high-level Python Web framework that encourages rapid development and clean, pragmatic design.
accordian (0.3.1)                                                       - Event dispatch in Python 3.5 using asyncio
cmsplugin-accordion (0.2.2)                                             - django-cms plugin that allow to create accordions on the frontend.
accordion_presentation (1.0.1)                                          - It is a simple horizontal accordion for django cms
Accost (dev)                                                            - Fast and easy python web framework
bank-account-validator (0.1)                                            - UNKNOWN
odoo10-addon-account-invoice-import (10.0.1.0.0.99.dev10)               - Import supplier invoices/refunds as PDF or XML files
odoo10-addon-account-invoice-import-invoice2data (10.0.1.0.0.99.dev2)   - Import supplier invoices using the invoice2data lib
odoo10-addon-account-invoice-factur-x (10.0.1.0.0.99.dev3)              - Generate Factur-X/ZUGFeRD customer invoices
odoo8-addon-l10n-ca-account-check-writing (8.0.1.0.0.99.dev4)           - Canada - Check Writing
odoo10-addon-account-invoice-import-factur-x (10.0.1.0.0.99.dev1)       - Import ZUGFeRD and Factur-X supplier invoices/refunds
django-account-balances (0.4)                                           - Track account credits in Django
odoo8-addon-account-invoice-import-zugferd (8.0.1.0.0.99.dev6)          - Import ZUGFeRD-compliant supplier invoices/refunds
odoo8-addon-account-invoice-zugferd (8.0.1.0.0.99.dev9)                 - Generate ZUGFeRD customer invoices
odoo8-addon-account-bank-statement-import-ofx (8.0.1.0.1.99.dev16)      - Import OFX Bank Statement
odoo8-addon-account-invoice-import-invoice2data (8.0.1.0.0.99.dev13)    - Import supplier invoices using the invoice2data lib
odoo8-addon-account-invoice-import (8.0.1.0.0.99.dev23)                 - Import supplier invoices/refunds as PDF or XML files
odoo10-addon-account-bank-statement-import-ofx (10.0.1.0.0.99.dev7)     - Import OFX Bank Statement
odoo8-addon-account-bank-statement-import-coda (8.0.1.0.0.99.dev13)     - Import CODA Bank Statement
odoo8-addon-account-invoice-reorder-lines (8.0.1.0.0.99.dev14)          - Provide a new field on the invoice line form, allowing to manage the lines
odoo8-addon-l10n-ch-account-statement-base-import (8.0.1.0.1.99.dev12)  - Swiss bank statements import
odoo8-addon-account-move-line-import (8.0.1.0.2.99.dev11)               - Import Accounting Entries
django-account-keeping (0.3)                                            - A reusable Django app for keeping track of transactions in your bank accounts.
odoo8-addon-account-move-template (8.0.1.0.0.99.dev35)                  - Templates for recurring Journal Entries
django-accountant (0.1.9)                                               - Django based account manager.
accounting (1.0.0)                                                      - accounting is a Python package providing simple and advanced number, money and currency formatting.
cacao-accounting-commons (0.1.0rc3)                                     - Commons framework for the cacao accounting software.
django-accounting (0.2.9)                                               - Accounting made accessible for small businesses and sole proprietorships through a simple Django project
accounts (0.1.3)                                                        - The accounts saves your account of web services.
django-mp-accounts (2.0)                                                - Django accounts app
django-oscar-accounts-wt (0.4rc3)                                       - Managed accounts for django-oscar
djangorf-accounts (1.0)                                                 - App de Django para manejar cuentas utilizando tokens.
invenio-accounts-rest (1.0.0a3)                                         - Invenio modules that adds accounts REST API.
django-accounts-cbv (2.0)                                               - Account login, logout, and password reset.
pyobjc-framework-Accounts (3.2.1)                                       - Wrappers for the framework Accounts on Mac OS X
django-luoji-accounts (0.1.0)                                           - A general account app for projects.
django-oscar-accounts (0.4rc1)                                          - Managed accounts for django-oscar
geonode-user-accounts (1.0.13)                                          - a Django user account app
openstax-accounts (1.0.0)                                               - An example pyramid app that connects to openstax/accounts
django-ohm2-accounts-light (0.1.2)                                      - Django application to easily handle signup, login and logout
invenio-accounts (1.0.0b5)                                              - Invenio user management and authentication.
django-user-accounts (2.0.3)                                            - a Django user account app
django-oscar-accounts2 (0.1.0)                                          - Managed accounts for django-oscar
accountsSSO (0.0.7)                                                     - AccountSSO bindings for Harmattan platform
accu (0.0.5)                                                            - accu
accumulator (0.3)                                                       - A framework for the accumulation of occurrences with subjects.
acd2cwl (0.1.6)                                                         - CWL generator for ACD files
acdcli (0.3.2)                                                          - a command line interface and FUSE filesystem for Amazon Cloud Drive
py-ace (0.0.4)                                                          - make all python script as c extention with cython
ace (0.3)                                                               - Non-parametric multivariate regressions by Alternating Conditional Expectations
django-ace-overlay (0.6)                                                - Ace editor for Django admin
acefile (0.6.2)                                                         - Read/test/extract ACE 1.0 and 2.0 archives in pure python.
aces (0.17)                                                             - A python framework for computational physics numerical experiments.
acetone (0.1.0)                                                         - Glue code removal.
ach (0.2)                                                               - Library to create and parse ACH files (NACHA)
balanced-ach (0.1.5)                                                    - Balanced ACH client library
achallonge (1.6.1)                                                      - A python library to use the Challonge API
AChemKit (0.3.0)                                                        - An Artificial Chemistry Tookit
treeio-achievements (0.1.2)                                             - A module for treeio that lets you hand out achievements.
Achilterm (0.21)                                                        - A lightweight UTF-8 web based terminal
Achoo (1.0)                                                             - A fluent interface for testing Python objects.
acidfile (1.2.1)                                                        - ACID transaction with common files
acidipy (0.11.2)                                                        - Cisco ACI Developing Interface for PYthon
ackg (0.0.5)                                                            - Script wrapping GNU find, xargs/parallel,grep to search code for pattern
acky (0.2.3)                                                            - A consistent API to AWS
DStore-ACL (0.1.1)                                                      - DStore Security using Access Control Lists
django-acl (0.1.3)                                                      - ACL (Action Control List) permission handling.
miracle-acl (0.0.4-1)                                                   - Flexible role-based authorization solution that is a pleasure to use
aws-acl-helper (0.1.2)                                                  - Squid external ACL helper that allows use of AWS instance metadata
python-aclapiclient (0.1.7)                                             - Python ACL API client
aclhound (1.8.2)                                                        - ACL Compiler
acli (0.1.32)                                                           - A CLI to manage AWS resources
aclust (0.1.3)                                                          - streaming agglomerative clustering
acmdrunner (1.2)                                                        - Ascetic command runner. The most ease way to power your python app with custom management commands
acme-client-lite (1.0a1)                                                - ACME client
acme-tiny (2.0.0)                                                       - A tiny script to issue and renew TLS certs from Let's Encrypt
marathon-acme (0.2.0)                                                   - Automated management of Let's Encrypt certificates for apps running on Mesosphere Marathon
acme-mgmtserver (0.3.1)                                                 - Basic Python Server to execute ACME instead of dump clients
django-acme (0.2.4)                                                     - A re-usable Django app to quickly deploy a page for the ACME challenge
acme (0.16.0)                                                           - ACME protocol implementation in Python
acme.dchat (0.1)                                                        - This software aim to provide a chatting tool with the NTT docomo API
acme.hello (0.1)                                                        - This is a test program for namespace_packages.
ACO-Pants (0.5.2)                                                       - A Python3 implementation of the ACO Meta-Heuristic
aco2sass (0.1)                                                          - About
=====

*aco2sass* is a small python script which converts photoshop `.aco` swatch files 
to a list of the corresponding swatch colors formatted as SASS varibles.

The implementation is based on the file format specified by `Adobe` here::

    https://www.adobe.com/devnet-apps/photoshop/fileformatashtml/#50577411_pgfId-1055819
acomms (0.7.0)                                                          - WHOI Micromodem Interface Library and Tools
acor (1.1.1)                                                            - Estimate the autocorrelation time of a time series quickly.
acora (2.0)                                                             - Fast multi-keyword search engine for text strings
acorn (0.0.15)                                                          - Automated computational research notebook.
acos-client (1.4.0)                                                     - A10 Networks ACOS API Client
acoular (16.5)                                                          - Library for acoustic beamforming
