Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-May-2016,106.30,106.50,105.80,106.10,106.224742105677612410,12699,173,1348948.00,10058,79.20,0.70,-0.20
4-May-2016,106.30,106.60,105.50,105.90,106.184640244939615580,11758,161,1248519.00,8188,69.64,1.10,-0.40
3-May-2016,106.45,107.20,106.10,106.15,106.409150901891772987,11365,177,1209340.00,7711,67.85,1.10,-0.30
2-May-2016,106.45,107.50,106.00,106.45,106.846515852047556142,24224,370,2588250.00,13928,57.50,1.50,0.00
29-April-2016,107.60,107.60,106.25,106.60,106.609685155065981591,432848,238,46145789.00,423853,97.92,1.35,-1.00
28-April-2016,107.40,108.00,106.25,106.35,106.970538344790643692,11201,216,1198177.00,5929,52.93,1.75,-1.05
27-April-2016,107.10,108.75,106.55,107.00,107.275270310485070925,20162,312,2162884.00,8600,42.65,2.20,-0.10
26-April-2016,106.40,107.30,105.70,106.50,106.705895292564892212,31822,439,3395595.00,17312,54.40,1.60,0.10
25-April-2016,107.00,107.85,106.00,106.35,106.929040278468423669,40220,425,4300686.00,28573,71.04,1.85,-0.65
22-April-2016,107.45,108.00,106.50,106.95,107.301511394497579407,33876,453,3634946.00,15487,45.72,1.50,-0.50
21-April-2016,108.55,108.55,107.05,107.45,107.873351489288701134,46633,568,5030458.00,29862,64.04,1.50,-1.10
20-April-2016,108.00,109.90,107.50,107.85,108.520638429807770078,37091,664,4025139.00,18531,49.96,2.40,-0.15
18-April-2016,108.60,110.40,106.90,107.40,108.636541406848266054,73128,884,7944373.00,28577,39.08,3.50,-1.20
13-April-2016,113.00,113.00,107.00,107.40,108.202337456030863497,44065,545,4767936.00,23228,52.71,6.00,-5.60
12-April-2016,107.15,108.70,106.60,107.00,107.499822042946968798,16858,308,1812232.00,7345,43.57,2.10,-0.15
11-April-2016,107.70,108.00,107.00,107.25,107.505563315832570685,20761,320,2231923.00,10034,48.33,1.00,-0.45
8-April-2016,107.10,108.00,105.60,106.85,107.166618723431457154,31287,491,3352922.00,18969,60.63,2.40,-0.25
7-April-2016,107.15,107.90,106.60,107.15,107.402419197502763868,15377,142,1651527.00,11199,72.83,1.30,0.00
6-April-2016,107.05,108.00,107.00,107.40,107.540362895760044436,10802,217,1161651.00,4698,43.49,1.00,0.35
5-April-2016,107.10,108.20,107.10,107.35,107.646527426465274264,13837,298,1489505.00,7785,56.26,1.10,0.25
4-April-2016,108.45,108.85,107.25,107.95,108.104673423423423423,17760,273,1919939.00,7712,43.42,1.60,-0.50
1-April-2016,106.70,111.40,106.70,108.00,109.052735116479723899,57950,1128,6319606.00,22599,39.00,4.70,1.30
31-March-2016,106.60,107.40,106.05,106.70,106.815295887662988966,19940,381,2129897.00,13405,67.23,1.35,0.10
30-March-2016,106.50,107.50,106.15,106.70,106.738248297935823365,36867,596,3935119.00,17424,47.26,1.35,0.20
29-March-2016,105.70,107.35,104.65,105.15,105.921282967549659293,69121,798,7321385.00,45664,66.06,2.70,-0.55
28-March-2016,107.95,107.95,105.30,105.75,106.588131350316595494,27164,502,2895360.00,14962,55.08,2.65,-2.20
23-March-2016,108.00,108.75,107.00,107.30,107.776779654250009981,25047,365,2699485.00,12231,48.83,1.75,-0.70
22-March-2016,108.60,108.65,105.80,107.85,107.754286255565027943,31671,492,3412686.00,16640,52.54,2.85,-0.75
21-March-2016,109.35,109.90,107.35,107.80,108.333681486932371163,42127,718,4563773.00,21039,49.94,2.55,-1.55
18-March-2016,111.90,112.15,107.70,109.15,110.006190337237900704,143934,2128,15833631.00,36111,25.09,4.45,-2.75
17-March-2016,110.00,128.00,109.45,110.85,119.671136002644548841,1101133,14869,131773837.00,216992,19.71,18.55,0.85
16-March-2016,110.25,110.80,109.00,109.40,109.837228288600877640,9799,137,1076295.00,2516,25.68,1.80,-0.85
15-March-2016,111.00,111.95,109.10,109.35,110.125820387669015789,78469,137,8641463.00,74246,94.62,2.85,-1.65
14-March-2016,109.00,112.05,109.00,110.85,110.940042615467443147,131877,478,14630440.00,101238,76.77,3.05,1.85
11-March-2016,109.30,109.90,108.45,109.25,109.018855308906124632,14956,161,1630486.00,9650,64.52,1.45,-0.05
10-March-2016,111.50,111.50,109.25,109.80,110.289065386036202438,10828,208,1194210.00,5431,50.16,2.25,-1.70
9-March-2016,110.00,111.35,109.85,110.60,110.897116720704029643,17272,120,1915415.00,13611,78.80,1.50,0.60
8-March-2016,109.10,112.60,109.10,110.50,111.412220717118469799,61273,371,6826561.00,40787,66.57,3.50,1.40
4-March-2016,109.60,111.25,109.40,109.60,110.016192629961439216,68982,303,7589137.00,52812,76.56,1.85,0.00
3-March-2016,109.75,110.35,109.00,109.45,109.472456046883324453,9385,152,1027399.00,4332,46.16,1.35,-0.30
2-March-2016,109.00,110.20,108.90,109.65,109.823287580399177773,15081,158,1656245.00,9946,65.95,1.30,0.65
1-March-2016,106.20,108.80,106.20,108.40,108.122230817919684928,14219,208,1537390.00,8271,58.17,2.60,2.20
29-February-2016,112.00,112.90,107.60,108.00,108.490098157396245910,11614,186,1260004.00,2971,25.58,5.30,-4.00
26-February-2016,111.00,112.40,108.00,108.75,109.847895295366112486,16962,448,1863240.00,3877,22.86,4.40,-2.25
25-February-2016,108.35,109.40,108.10,108.65,108.606964006259780907,12780,90,1387997.00,11658,91.22,1.30,0.30
24-February-2016,108.80,109.20,107.00,109.15,108.815400963125409780,44231,321,4813014.00,38443,86.91,2.20,0.35
23-February-2016,108.35,109.00,106.70,108.80,108.717220229140145816,34564,133,3757702.00,31631,91.51,2.30,0.45
22-February-2016,110.00,110.00,106.00,108.70,108.395981452859350850,9705,147,1051983.00,3732,38.45,4.00,-1.30
19-February-2016,108.75,109.90,108.40,109.20,109.003541703559412077,5647,185,615543.00,1828,32.37,1.50,0.45
18-February-2016,110.00,110.00,108.70,109.35,109.343005018820577164,12752,192,1394342.00,7186,56.35,1.30,-0.65
17-February-2016,109.00,109.55,108.00,108.55,108.638686836176375925,15535,190,1687702.00,8530,54.91,1.55,-0.45
16-February-2016,109.80,110.90,108.00,108.70,109.731694560669456066,21032,314,2307877.00,4938,23.48,2.90,-1.10
15-February-2016,108.95,110.25,108.50,109.80,109.274426719840478564,16048,208,1753636.00,5519,34.39,1.75,0.85
12-February-2016,113.00,113.00,105.50,108.10,106.867261466262857766,36651,437,3916792.00,22617,61.71,7.50,-4.90
11-February-2016,107.10,109.90,104.35,107.90,107.479961206783570548,38151,719,4100468.00,23011,60.32,5.55,0.80
10-February-2016,109.45,109.95,107.10,107.85,108.612306016879934658,14692,241,1595732.00,5013,34.12,2.85,-1.60
