Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-April-2016,549.00,567.00,542.10,565.25,554.166082408002202441,54485,1677,30193739.00,13997,25.69,24.90,16.25
8-April-2016,549.90,551.65,546.50,546.90,547.001073376177416347,439734,1879,240534970.00,32300,7.35,5.15,-3.00
7-April-2016,557.60,560.25,550.00,552.40,554.334166666666666666,37200,1403,20621231.00,14581,39.20,10.25,-5.20
6-April-2016,555.00,562.00,553.00,561.35,560.959822187240056170,223606,1519,125433982.00,195801,87.57,9.00,6.35
5-April-2016,566.05,566.45,557.90,559.55,560.406735069718495132,22806,1286,12780636.00,4997,21.91,8.55,-6.50
4-April-2016,570.00,570.85,564.00,566.05,567.195957696827262044,21275,930,12067094.00,4763,22.39,6.85,-3.95
1-April-2016,565.20,572.25,557.85,561.50,564.064868328146656554,76478,4738,43138553.00,15706,20.54,14.40,-3.70
31-March-2016,563.00,567.00,557.80,563.35,562.282062467283196649,45848,1144,25779508.00,10843,23.65,9.20,0.35
30-March-2016,553.70,563.05,551.30,561.20,557.145898079952318106,70467,1862,39260400.00,30235,42.91,11.75,7.50
29-March-2016,557.60,558.20,548.20,552.80,551.216055648435634105,66992,1677,36927066.00,11342,16.93,10.00,-4.80
28-March-2016,556.00,563.35,550.00,555.05,555.062184977256894644,48806,1652,27090365.00,15982,32.75,13.35,-0.95
23-March-2016,553.00,559.00,546.50,555.85,550.828449825607301445,65083,2505,35849568.00,21905,33.66,12.50,2.85
22-March-2016,558.00,558.00,551.40,553.05,553.464124101837528372,69169,1749,38282560.00,27218,39.35,6.60,-4.95
21-March-2016,550.05,563.00,542.25,557.35,550.828751684575844673,83849,2554,46186440.00,21447,25.58,20.75,7.30
18-March-2016,541.05,554.00,541.05,546.65,546.656293352665825345,670374,3345,366464166.00,448450,66.90,12.95,5.60
17-March-2016,540.00,543.30,535.60,538.25,539.166585550054543928,59585,1804,32126241.00,21649,36.33,7.70,-1.75
16-March-2016,535.40,541.10,530.40,538.95,536.922623403520883672,72425,1396,38886621.00,41324,57.06,10.70,3.55
15-March-2016,543.00,543.00,528.35,534.90,534.611958702937885667,385209,2131,205937338.00,340654,88.43,14.65,-8.10
14-March-2016,544.00,544.00,536.65,539.55,539.889032197547076894,42643,1283,23022488.00,13631,31.97,7.35,-4.45
11-March-2016,536.95,541.00,535.75,540.90,540.642074054716617201,321438,1377,173782907.00,282390,87.85,5.25,3.95
